ACTION,GOTO
ClosureId,!,!=,&&,(,),*,+,",",-,/,;,<,<=,=,==,>,>=,UFLOAT,UINT,^,do,double,id,if,int,printf,scanf,then,while,{,||,},#,ANDITEM,ASSIGN,B,BANDTERM,BFACTOR,BORTERM,EXPR,FACTOR,ID,ITEM,L,M,MUL_DIV,N,NOITEM,ORITEM,PLUS_MINUS,PRINTF,PRINTF_BEGIN,PROG,REL,RELITEM,SCANF,SCANF_BEGIN,STATEMENT,SUBPROG,T,VARIABLE,VARIABLES
108,,,s169,,,,,,,,,,,,,,,,,,r39,,,,,,,,,,r39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,,r48,r48,,,,,,,,,r48,r48,,r48,r48,r48,,,,r48,,,,,,,,,,r48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,,r47,r47,,,,,,,,,r47,r47,,r47,r47,r47,,,,r47,,,,,,,,,,r47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,,r46,r46,,,,,,,,,r46,r46,,r46,r46,r46,,,,r46,,,,,,,,,,r46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,,r8,r8,,,,,,,,,r8,r8,,r8,r8,r8,,,,r8,,,,,,,,,,r8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,s170,,,s171,,,s63,,s64,,,,,,,,,s181,s182,,,,s183,,,,,,,,,,,172,,,,,,173,174,175,176,,,,,177,178,179,,,,,180,,,,,,,
114,,,,,,,,,,,,,,,,,,,,s156,,,,,,,,,,,,s185,,,,,,,,,,,,,,,184,,,,,,,,,,,,,,,
115,,,,,,,,,,,r62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,,,,,,,,,,,r59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,,,,,,,,,,,,,,,,,,,,,,,,,,,,s186,,,s92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,s103,,,s104,,,,,,,,,,,,,,s110,s111,,,,s112,,,,,,,,,,,,,187,106,107,108,,,109,,,,,,,,,,,,,,,,,,,,
119,,,,,,,,,,,s188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,,s139,r26,,,,,,,,,s140,s141,,s142,s143,s144,,,,,,,,,,,,,,r26,,r26,,,,,,,,,,,,,,,,,,,,,145,,,,,,,,
121,,,,s122,,,s63,,s64,,,,,,,,,s132,s133,,,,s134,,,,,,,,,,,,,,,,,,125,126,127,,,,,189,,130,,,,,131,,,,,,,
122,s121,,,s122,,,s63,,s64,,,,,,,,,s132,s133,,,,s134,,,,,,,,,,,123,,,,,,190,125,126,127,,,,,128,129,130,,,,,131,,,,,,,
123,,,r24,,r24,,,,,,,,,,,,,,,,,,,,,,,,,,r24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,,,,,s191,,,,,,,,,,,,,,,,,,,,,,,,,,s192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,,r31,r31,,r31,r31,r31,,r31,r31,,r31,r31,,r31,r31,r31,,,,,,,,,,,,,,r31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,,r33,r33,,r33,r33,r33,,r33,r33,,r33,r33,,r33,r33,r33,,,,,,,,,,,,,,r33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,,r30,r30,,r30,s136,r30,,r30,s137,,r30,r30,,r30,r30,r30,,,,,,,,,,,,,,r30,,,,,,,,,,,,,,,193,,,,,,,,,,,,,,,,
128,,s139,r25,,r25,,,,,,,s140,s141,,s142,s143,s144,,,,,,,,,,,,,,r25,,,,,,,,,,,,,,,,,,,,,,,194,,,,,,,,
129,,,s195,,r22,,,,,,,,,,,,,,,,,,,,,,,,,,r22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,,,,s122,,,s63,,s64,,,,,,,,,s132,s133,,,,s134,,,,,,,,,,,,,,,,,,196,126,,,,,,,,130,,,,,,,,,,,,
131,,r28,r28,,r28,,s63,,s64,,,r28,r28,,r28,r28,r28,,,,,,,,,,,,,,r28,,,,,,,,,,,,,,,,,,,197,,,,,,,,,,,,
132,,r35,r35,,r35,r35,r35,,r35,r35,,r35,r35,,r35,r35,r35,,,,,,,,,,,,,,r35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,,r34,r34,,r34,r34,r34,,r34,r34,,r34,r34,,r34,r34,r34,,,,,,,,,,,,,,r34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,,r8,r8,,r8,r8,r8,,r8,r8,,r8,r8,,r8,r8,r8,,,,,,,,,,,,,,r8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,s61,,,s62,,,s63,,s64,,,,,,,,,s74,s75,,,,s76,,,,,,,,,,,65,,,,,,,67,68,69,,,,,70,198,72,,,,,73,,,,,,,
136,,,,r51,,,r51,,r51,,,,,,,,,r51,r51,,,,r51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,,,,r52,,,r52,,r52,,,,,,,,,r52,r52,,,,r52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,,,,s62,,,s63,,s64,,,,,,,,,s74,s75,,,,s76,,,,,,,,,,,,,,,,,,199,68,,,,,,,,72,,,,,,,,,,,,
139,,,,r54,,,r54,,r54,,,,,,,,,r54,r54,,,,r54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,,,,r55,,,r55,,r55,,,,,,,,,r55,r55,,,,r55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,,,,r56,,,r56,,r56,,,,,,,,,r56,r56,,,,r56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,,,,r53,,,r53,,r53,,,,,,,,,r53,r53,,,,r53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,,,,r57,,,r57,,r57,,,,,,,,,r57,r57,,,,r57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,,,,r58,,,r58,,r58,,,,,,,,,r58,r58,,,,r58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,,,,s62,,,s63,,s64,,,,,,,,,s74,s75,,,,s76,,,,,,,,,,,,,,,,,,67,68,69,,,,,,,72,,,,,200,,,,,,,
